pr	service	start_time	run_duration
15	precommitci	1	9
15	github	14	24
15	circleci	1	38
15	appveyor	5	40
15	azurepipelines	14	50
15	travisci	21	51
15	gitlab	9	68
16	precommitci	2	9
16	circleci	2	21
16	github	13	23
16	appveyor	16	36
16	azurepipelines	13	42
16	travisci	33	52
16	gitlab	228	74
17	precommitci	2	8
17	github	13	24
17	circleci	2	36
17	appveyor	5	36
17	azurepipelines	14	50
17	travisci	25	51
17	gitlab	216	63
18	precommitci	2	9
18	circleci	2	25
18	appveyor	5	39
18	azurepipelines	14	52
18	github	45	35
18	travisci	35	49
18	gitlab	229	66
19	precommitci	1	9
19	circleci	1	31
19	github	12	23
19	appveyor	4	35
19	azurepipelines	13	43
19	travisci	39	61
19	gitlab	225	63
